workerCounter,assignmentId,workerId,hitId,age,gender,sexual orientation,race,community
15,3E4GGUZ1T9X8U4VG35VR3XQAUI12KU,A3CL6NBX3CTMTP,3LG268AV38CKP4MYW6UNHQQT2Y7REC,25,2,3,6,1 2 3 4 5 6
16,3ZSANO2JCGDQJHK0W9J0E2B9KGISFK,AYDILOZLKOAS8,3LG268AV38CKP4MYW6UNHQQT2Y7REC,34,2,2,4,2 4 6
17,3CFVK00FWMR7WBWZB7JV8AK1ZN8L6X,A3M8097985U3FN,3LG268AV38CKP4MYW6UNHQQT2Y7REC,27,2,2,6,3 4 6
18,3DQQ64TANHRVHBQ3UHP6NLSYSZ1PWZ,A33CFLCMJNHHNC,3LG268AV38CKP4MYW6UNHQQT2Y7REC,36,1,2,2,2 3 4 6
19,3VHHR074H4NQ0BA4UHONEOKXUYSL7W,A3QXV94C2J0LQ,3LG268AV38CKP4MYW6UNHQQT2Y7REC,27,1,1,6,6
20,3Y9N9SS8LZHP1GLPFON9IU0CGN4D33,A2W0DNZU6HO2WC,3LG268AV38CKP4MYW6UNHQQT2Y7REC,52,1,2,6,1 4 6
21,3DUZQ9U6SNUFFE6QWOO4WOEV8A7VSC,AJQ5GFSRSVPHU,3LG268AV38CKP4MYW6UNHQQT2Y7REC,25,2,3,6,1 2 3 4 6
22,3OB0CAO74IV7TZNFQ5ZPZ9BNHGSYH3,A167GO76JNIKY2,3LG268AV38CKP4MYW6UNHQQT2Y7REC,31,2,2,6,6
23,36U2A8VAG25YVPONWQ2MC1RF9XWYK7,A3PMGUAC5XHORQ,3LG268AV38CKP4MYW6UNHQQT2Y7REC,65,2,2,6,2 4 6
24,3K5TEWLKGWHQL03URCUQSM88ZC4VIJ,A28JRW1XS04BUF,3LG268AV38CKP4MYW6UNHQQT2Y7REC,34,1,2,6 0,6
25,32Q90QCQ1TR0PK7WWPQS5YZZRLQKED,A2WGW5Y3ZFBDEC,3LG268AV38CKP4MYW6UNHQQT2Y7REC,45,2,2,6,1 2 3 4 6
26,3FE7TXL1LJTU57TBGAFOZJ2JTOT2QM,A3UL4W20DH7VFP,3LG268AV38CKP4MYW6UNHQQT2Y7REC,24,1,1,6,6
27,3HUTX6F6VVTRKVGV1XNKAE7JENBO20,A1GHCVQ5XWM3JL,3LG268AV38CKP4MYW6UNHQQT2Y7REC,32,2,2,6,6
28,3DIP6YHAPDYGUJ5VN0TPFTQ8WLX8EJ,A1REWUVT3N8SN7,3LG268AV38CKP4MYW6UNHQQT2Y7REC,45,2,2,6,6
29,3LOZAJ85YEJEE4UN2OAGTRYCQRG2XJ,A1JL8N1PWIFDH2,3LG268AV38CKP4MYW6UNHQQT2Y7REC,25,2,2,6,6
30,30X31N5D64WVNQ3SLTX8010IN06ASQ,A2HMGUBRAU2MJX,3LG268AV38CKP4MYW6UNHQQT2Y7REC,36,2,2,6,2 3 4 6
31,3WSELTNVR48W2QG7AT2YA6W4PJKATF,AO43WC1VTBWLL,3LG268AV38CKP4MYW6UNHQQT2Y7REC,36,1,2,2,2 4 6
32,3HOSI13XH0UNJ8NM8DTLV3MO70TDD1,A2IAI6CV6X1RCV,3LG268AV38CKP4MYW6UNHQQT2Y7REC,18,2,2,4,2 4
33,3X4JMASXCNF05RO8I5EKL6E5AQ8B0Z,AS092TU211EIO,3LG268AV38CKP4MYW6UNHQQT2Y7REC,30,1,1,6,2 3 4 6
34,3OXV7EAXLFWQG76A51FVCOQKZ1H361,A3N2XX8SGRWA1,3LG268AV38CKP4MYW6UNHQQT2Y7REC,30,2,2,4,2 3 4 5 6 0
35,3PB5A5BD0WCAEJW3JQR71WFPYH6G7L,ARX0I9HP2XMU7,3LG268AV38CKP4MYW6UNHQQT2Y7REC,30,2,2,6,3 4 6
36,3WR9XG3T64HU233JOPP6S7IM8CY47N,A11NLHTFT9YWKH,3LG268AV38CKP4MYW6UNHQQT2Y7REC,52,1,2,6,6
37,3T3IWE1XG7TOP6NOZPZK06B9T16TQ5,AHWF0QIK9VTDS,3LG268AV38CKP4MYW6UNHQQT2Y7REC,49,2,3,3,6
38,3TU5ZICBRE75RMV0WROP9AFMFOL8QV,A183WYXN12P2TJ,3LG268AV38CKP4MYW6UNHQQT2Y7REC,34,2,2,6,2 3 4 6
39,32SVAV9L3GFR39IDVEW7STS6VK73AR,A3OT79FD8O77UR,3LG268AV38CKP4MYW6UNHQQT2Y7REC,18,1,4,3 6,0
40,38SKSKU7R23NPVR0D8SK5DA68E3LIR,ALC5JCSV9ZJ7V,3LG268AV38CKP4MYW6UNHQQT2Y7REC,33,1,2,2 6,2 3 4 5 6 0
41,3TMFV4NEP9KABJRM80NV1ZX83P2W8N,ADKKDK6P4MS1Z,3LG268AV38CKP4MYW6UNHQQT2Y7REC,36,2,2,4,2 3 4 6
42,3X31TUMD7YSCPPV2517EDETKRCT1LG,A2RJBR2I5VMVL5,3LG268AV38CKP4MYW6UNHQQT2Y7REC,22,2,2,4,3 4
43,3EFE17QCRDBAXDB6RZ70HNNM0VVSHI,A1P8WL2QGA7WHE,3LG268AV38CKP4MYW6UNHQQT2Y7REC,46,2,2,6,1 2 3 4 6
44,3J2UYBXQQMIUZF7DMEXCAQSDWPX063,A2KHV2D09JAWPC,3LG268AV38CKP4MYW6UNHQQT2Y7REC,50,2,2,6,6
45,3GS6S824SR3VEQEQE2CEJWN3SK1NW2,ARFV302JOUOF,3LG268AV38CKP4MYW6UNHQQT2Y7REC,25,2,2,4,4
46,33CUSNVVNOIZLIV4AX7PNJUMLIZ88K,ASE7YA17NJPFV,3LG268AV38CKP4MYW6UNHQQT2Y7REC,24,2,2,6,6
47,3II4UPYCOKDH8HRRDZZ5V2TNQFIDQ6,A11VJ9HVZPID81,3LG268AV38CKP4MYW6UNHQQT2Y7REC,22,1,1,4,4
48,33FBRBDW6P51XLLHR9NUP5Q5B9KC8U,A3P74FP62XNVYI,3LG268AV38CKP4MYW6UNHQQT2Y7REC,60,2,2,6,2 3 4 6
49,37U1UTWH9WS53NA096DPE0PRBAO8RX,A1VJAEPNA6YARO,3LG268AV38CKP4MYW6UNHQQT2Y7REC,31,1,1,6,2 3 4 6 0
50,3UJ1CZ6IZIVYHKRBQX6RSQKWVM75SH,A1P3Z24Y6GRNVA,3LG268AV38CKP4MYW6UNHQQT2Y7REC,29,2,2,6,6
